name,lon,lat,geometry
BANQUE POPULAIRE,-8.5564831,32.2311881,"POINT (-8.5564831 32.2311881)"
BMCE,-8.5564831,32.2311881,"POINT (-8.5564831 32.2311881)"
Attijariwafa bank,-8.5564831,32.2311881,"POINT (-8.5564831 32.2311881)"
wafacash,-8.5564831,32.2311881,"POINT (-8.5564831 32.2311881)"
Gare de Youssoufia,-8.53456296286046,32.247460450000005,"POINT (-8.53456296286046 32.247460450000005)"
Casabus Gare Routiere Ouled Ziane,-7.587580355715018,33.57343805,"POINT (-7.587580355715018 33.57343805)"
Police Gare Routiere,-7.5898303,33.5746156,"POINT (-7.5898303 33.5746156)"
Maroc,-6.823975059229513,33.9891567,"POINT (-6.823975059229513 33.9891567)"
Pharmacie Chefchaouni,-8.5336693,32.2552809,"POINT (-8.5336693 32.2552809)"
Pharmacie Ahmar,-8.5354636,32.2418627,"POINT (-8.5354636 32.2418627)"
Pharmacie Al Ouma,-8.5341124,32.2458394,"POINT (-8.5341124 32.2458394)"
Pharmacie Inas,-8.5403043,32.2427264,"POINT (-8.5403043 32.2427264)"
Pharmacie Minicipalite,-8.5345939,32.2446437,"POINT (-8.5345939 32.2446437)"
Pharmacie Zaid,-8.5234343,32.2484544,"POINT (-8.5234343 32.2484544)"
Pharmacie Orphelinat,-8.5317972,32.2446004,"POINT (-8.5317972 32.2446004)"
Pharmacie Zaytouna,-8.539346,32.2491676,"POINT (-8.539346 32.2491676)"
Pharmacie Al Qods,-8.5358955,32.2538836,"POINT (-8.5358955 32.2538836)"
Pharmacie Annour,-8.5326451,32.237092,"POINT (-8.5326451 32.237092)"
Hay Ouali Mokhtar,2.1103831,35.9484859,"POINT (2.1103831 35.9484859)"
Hay Saada,-6.8252108,33.9869881,"POINT (-6.8252108 33.9869881)"
Rue Youssoufia,-7.5903201,33.5750029,"POINT (-7.5903201 33.5750029)"
Rue Youssoufia,-7.6096755,32.9980786,"POINT (-7.6096755 32.9980786)"
Avenue Youssoufia,-9.5602542,30.4390063,"POINT (-9.5602542 30.4390063)"
Pharmacie Hay Essaada,-8.6303306,32.0749202,"POINT (-8.6303306 32.0749202)"
ISTA Hay Ennahda,-6.820422923913227,33.97524585,"POINT (-6.820422923913227 33.97524585)"
Hay takadoum,-6.8206029,33.9790992,"POINT (-6.8206029 33.9790992)"
Hay Ennahda,-6.8217098,33.9740312,"POINT (-6.8217098 33.9740312)"
ISTA Hay Ennahda,-6.8219031,33.9752571,"POINT (-6.8219031 33.9752571)"
Ecole Al Khawarizmi,-6.815513721577478,33.989784900000004,"POINT (-6.815513721577478 33.989784900000004)"
Terrain de foot,-6.817459044714192,33.970487,"POINT (-6.817459044714192 33.970487)"
hospital lalla hassna,-8.5564831,32.2311881,"POINT (-8.5564831 32.2311881)"
masjid niour,-8.5393031,32.2585369,"POINT (-8.5393031 32.2585369)"
Youcode,-8.52187, 32.24723,"POINT (-8.52187 32.24723)"
masjid Al Firdaouss,-8.5544765,32.2405827,"POINT (-8.5544765 32.2405827)"
souk baladi,-8.5435081,32.2387886,"POINT (-8.5435081 32.2387886)"
Hôtel de Youssoufia,-8.539445,32.2445097,"POINT (,-8.539445 32.2445097)"
Jardin boulevard hassan II,-8.5314156,32.2450427,"POINT (,-8.5314156 32.2450427)"
